Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Cold_Thermos,Dirt_Fecal,First_Urine_Day,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,8OHdG_Result,tblAnalysis_8-OHdG.CV,tblAnalysis_8-OHdG.Status,TAC_Result,tblAnalysis_TAC.CV,tblAnalysis_TAC.Status,Neopterin_Result,tblAnalysis_Neopterin.CV,tblAnalysis_Neopterin.Status,Cortisol_Result,tblAnalysis_Cortisol.CV,tblAnalysis_Cortisol.Status
755,6675,29-Nov-14,Caco,4:58:00 AM,TRUE,FALSE,TRUE,1.015,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),8.735,1.7,ok,0.96,2.9,ok,188.15,0.8,ok,5322.593,24.8,rerun
756,6677,30-Nov-14,Idun,4:52:00 AM,TRUE,FALSE,TRUE,1.029,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.628,1.2,ok,4.693,7.6,ok,760.83,5.6,ok,25816.72,8,ok
757,6679,1-Dec-14,Abuk,5:24:00 AM,TRUE,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,39.257,2.9,ok,2.005,10.8,ok,231.541,16.4,ok,11533.07,4.6,ok
758,6692,12-Dec-14,Tono,6:26:00 AM,TRUE,FALSE,TRUE,1.03,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,21.584,4.8,ok,6.636,5.5,ok,773.387,13,ok,35685.92,2.3,ok
759,6699,15-Dec-14,Abuk,5:20:00 AM,TRUE,FALSE,TRUE,1.02,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,18.612,4.7,ok,3.13,3.4,ok,913.981,3.6,ok,15812.17,14.4,ok
760,6706,17-Dec-14,Idun,5:09:00 AM,TRUE,FALSE,TRUE,1.012,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,10.704,2.6,ok,2.655,8.5,ok,704.638,11.6,ok,2402.703,0.1,ok
761,6714,19-Dec-14,Isman,4:53:00 AM,FALSE,FALSE,TRUE,1.01,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,1.928,0.4,ok,241.879,9.5,ok,10242.964,3.9,ok
762,6716,20-Dec-14,Abuk,5:03:00 AM,TRUE,FALSE,TRUE,1.015,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,7.601,17.4,ok,2.04,2.3,ok,247.18,3.6,ok,14165.839,2.2,ok
763,6717,20-Dec-14,Suwi,2:22:00 PM,FALSE,FALSE,FALSE,1.042,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,,,,21487.88,11,ok
764,6718,21-Dec-14,Abuk,5:11:00 AM,TRUE,FALSE,TRUE,1.048,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,94.608,0.3,ok,,,,1745.245,3.9,ok,85060.73,5.5,ok
783,6799,26-Jan-15,Idun,5:18:00 AM,TRUE,FALSE,TRUE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult female no dependent,14.94,9.8,ok,9.296,4.2,ok,,,,45613.36,3.7,ok
784,6801,27-Jan-15,Isman,5:41:00 AM,TRUE,FALSE,TRUE,1.035,Tuanan,Pongo pygmaeus wurmbii,adult female no dependent,78.236,0.8,ok,17.466,2.6,ok,,,,72570.254,15.3,ok
785,6805,29-Jan-15,Isman,5:29:00 AM,TRUE,FALSE,TRUE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female no dependent,25.34,7.1,ok,12.5,4.3,ok,,,,65812.075,1.9,ok
786,6807,30-Jan-15,Abuk,12:04:00 PM,FALSE,FALSE,FALSE,1.022,Tuanan,Pongo pygmaeus wurmbii,adult female no dependent,,,,,,,,,,25063.18,7.1,ok
787,6810,31-Jan-15,Abuk,6:46:00 AM,TRUE,FALSE,TRUE,1.005,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,3.558,3.9,ok,1.616,8.1,ok,,,,36405.52,7.7,ok
788,6820,6-Feb-15,Isman,5:16:00 AM,TRUE,FALSE,TRUE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,52.269,6.2,ok,13.293,6.4,ok,1048.033,0.4,ok,13788.906,7,ok
789,6822,7-Feb-15,Abuk,5:52:00 AM,TRUE,FALSE,TRUE,1.043,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,147.706,8.5,ok,16.104,0,ok,,,,60178.19,6.4,ok
790,6824,8-Feb-15,Abuk,5:46:00 AM,TRUE,FALSE,TRUE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,43.529,12.3,ok,15.733,5.2,ok,,,,13085.32,14.4,ok
791,6826,9-Feb-15,Isman,5:08:00 AM,TRUE,TRUE,TRUE,1.01,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,39.806,9.7,ok,3.526,9.8,ok,,,,9308.791,7.7,ok
792,6841,14-Feb-15,Wendy,5:42:00 AM,TRUE,TRUE,TRUE,1.038,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,53.367,8,ok,19.603,0.3,ok,,,,34693.65,0.1,ok
793,6842,15-Feb-15,Wendy,5:18:00 AM,TRUE,FALSE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,112.534,0.9,ok,18.889,5.6,ok,,,,,,
794,6844,16-Feb-15,Abuk,6:14:00 AM,TRUE,FALSE,TRUE,1.04,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,55.639,15,ok,16.111,5.4,ok,,,,,,
795,6843,16-Feb-15,Wendy,5:34:00 AM,TRUE,FALSE,TRUE,1.018,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,58.245,12.2,ok,6.522,0.9,ok,,,,9192.706,8.5,ok
796,6847,17-Feb-15,Idun,4:54:00 AM,TRUE,FALSE,TRUE,1.027,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,13.445,2.8,ok,7.666,7.5,ok,,,,89666.46,2.4,ok
797,6851,18-Feb-15,Idun,5:50:00 AM,TRUE,FALSE,TRUE,1.037,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,38.299,7,ok,29.451,1.7,ok,1489.348,11.9,ok,179973.7,3.3,ok
798,6850,18-Feb-15,Wendy,5:52:00 AM,TRUE,FALSE,TRUE,1.045,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,82.097,1.9,ok,23.37,7.2,ok,953.678,1.9,ok,,,
799,6876,22-Feb-15,Wendy,10:25:00 AM,TRUE,FALSE,FALSE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,671.433,1.8,ok,11676.42,6.2,ok
800,6877,23-Feb-15,Idun,9:59:00 AM,TRUE,FALSE,FALSE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,281.786,0.1,ok,38888.91,0.9,ok
801,6861,24-Feb-15,Suwi,6:41:00 AM,TRUE,FALSE,FALSE,1.017,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,612.887,18.7,ok,28045.74,5,ok
802,6878,25-Feb-15,Isman,1:53:00 PM,TRUE,FALSE,FALSE,1.045,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,3385.865,5,ok,33977.12,4.3,ok
803,6879,26-Feb-15,Idun,5:13:00 AM,TRUE,FALSE,TRUE,1.026,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,49.99,1.6,ok,11.816,7.5,ok,889.78,12.4,ok,25246.16,2.1,ok
804,6865,27-Feb-15,Abuk,4:58:00 AM,TRUE,FALSE,TRUE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,45.691,5.2,ok,23.357,4.4,ok,2032.893,4,ok,21636.32,1.8,ok
805,6869,28-Feb-15,Abuk,5:34:00 AM,TRUE,FALSE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,semi-independent immature (juveniles),,,rerun,,,,456.67,0.8,ok,39599.27,1.3,ok
806,6871,1-Mar-15,Suwi,5:31:00 AM,TRUE,FALSE,TRUE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,44.575,5,ok,8.394,1.3,ok,363.96,11.1,ok,25504.85,8.5,ok
807,6887,3-Mar-15,Rahmatd,5:41:00 AM,TRUE,FALSE,TRUE,1.029,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,17.317,9.8,ok,7.993,0.5,ok,480.46,4.8,ok,20052.28,2.1,ok
808,6892,5-Mar-15,Tono,6:18:00 AM,TRUE,FALSE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,39.355,6.5,ok,16.456,2.9,ok,841.44,10.2,ok,,,
809,6894,6-Mar-15,Isman,6:17:00 AM,TRUE,FALSE,TRUE,1.043,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,34.473,3.4,ok,14.625,4,ok,1284.42,7.5,ok,,,
810,6902,16-Mar-15,Idun,5:28:00 AM,TRUE,FALSE,TRUE,1.015,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,8.446,0.1,ok,5.039,0.8,ok,124.54,0.8,ok,19105.93,2.2,ok
811,6905,17-Mar-15,Tono,5:32:00 AM,TRUE,FALSE,TRUE,1.018,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,7.865,2.5,ok,6.144,1.8,ok,353.12,1.9,ok,17991.59,7,ok
812,6908,18-Mar-15,Allie,6:35:00 AM,TRUE,FALSE,TRUE,1.021,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.628,1.2,ok,3.159,2.3,ok,196.88,6.5,ok,923.685,4.3,ok
815,6919,23-Mar-15,Suwi,5:13:00 AM,TRUE,FALSE,TRUE,1.031,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,23.819,4.9,ok,5.201,5.4,ok,581.96,6.5,ok,11085.43,3.1,ok
813,6911,19-Mar-15,Otto,10:35:00 AM,TRUE,FALSE,FALSE,1.015,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,100.58,,ok,6067.621,1.6,ok
814,6917,22-Mar-15,Niko,9:55:00 AM,TRUE,FALSE,FALSE,1.038,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,722.46,3.7,ok,9725.39,7.1,ok
816,6926,24-Mar-15,Idun,5:14:00 AM,TRUE,FALSE,TRUE,1.036,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,22.846,5.2,ok,3.733,2.8,ok,864.34,0.8,ok,14725.01,4.2,ok
817,6934,26-Mar-15,Tono,5:20:00 AM,TRUE,FALSE,TRUE,1.038,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,36.431,1.1,ok,19.39,5,ok,787.6,7.5,ok,17852.56,0.5,ok
818,6935,26-Mar-15,Abuk,5:14:00 AM,TRUE,FALSE,TRUE,1.042,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,21.592,3.1,ok,23.464,1.7,ok,616.22,4.1,ok,13885.01,0.1,ok
819,6937,27-Mar-15,Abuk,5:32:00 AM,TRUE,FALSE,FALSE,1.017,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,99.16,9.7,ok,14299.83,3.3,ok
820,6938,27-Mar-15,Suwi,5:06:00 AM,TRUE,FALSE,TRUE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,8.879,0.8,ok,4.456,0.3,ok,249.22,2.3,ok,10518.43,7.3,ok
821,6940,28-Mar-15,Suwi,5:01:00 AM,TRUE,FALSE,TRUE,1.036,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,27.06,11.5,ok,6.278,14.8,ok,572.82,0,ok,14354.03,28,ok
822,6943,29-Mar-15,Abuk,5:12:00 AM,TRUE,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,9.235,4.1,ok,2.204,1.6,ok,151.03,4.5,ok,4456.889,10.4,ok
823,6944,30-Mar-15,Allie,5:43:00 AM,TRUE,FALSE,TRUE,1.019,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,3.795,0.5,ok,1.254,3.7,ok,299.32,2.7,ok,54720.97,4.3,ok
824,6947,31-Mar-15,Allie,5:55:00 AM,TRUE,FALSE,TRUE,1.017,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,2.483,2,ok,2.22,4.1,ok,195.34,5,ok,25895.96,0.6,ok
825,6953,2-Apr-15,Abuk,5:16:00 AM,TRUE,FALSE,TRUE,1.015,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,5.435,1.8,ok,2.531,5.2,ok,414.8,3.6,ok,2081.522,8.4,ok
826,6964,17-Apr-15,Isman,8:07:00 AM,TRUE,FALSE,FALSE,1.01,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,105.412,13.1,ok,,,
827,6967,18-Apr-15,Abuk,6:40:00 AM,TRUE,FALSE,FALSE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,640.2,6.7,ok,1840.681,12.8,ok
828,6972,19-Apr-15,Isman,4:57:00 AM,TRUE,FALSE,TRUE,1.018,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,7.785,2.6,ok,5.512,6.8,ok,279.746,4.1,ok,12778.68,4.7,ok
829,6977,20-Apr-15,Suwi,2:40:00 PM,TRUE,FALSE,FALSE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,523.9,13.6,ok,66822.8,9.4,ok
