"follow_number","date","year","month","day","name_focal","class_focal","sex_focal","age_category","follow_type","length_active_period_min","ap_kcal","prev_day_ap_kcal","lipid_kcal","prev_day_lipid_kcal","tnc_kcal","prev_day_tnc_kcal","ndf_kcal_low","prev_day_ndf_kcal_low","total_kcal_using_ap_low_fermentation","prev_day_total_kcal_using_ap_low_fermentation","total_kcal_npe_low_fermentation","prev_day_total_kcal_npe_low_fermentation","npe_to_ap","lipid_to_ap","lipid_to_tnc","lipid_to_ndf_low","tnc_to_ap","tnc_to_ndf_low","ap_to_ndf_low","percent_ap","percent_lipid","percent_ndf_low","percent_tnc","fai","hi_low_quartile","fruit_category_quartiles"
8659,2017-01-13,2017,1,13,"Anton","adult_unflanged_male","male","adult","N-N",630,193.910686406417,230.456083704246,323.163123034004,704.361968386203,985.606491050499,1793.04555498926,170.262090879779,301.022142417319,1672.9423913707,3028.88574949703,1479.03170496428,2798.42966579278,7.62738625897278,1.66655654220463,0.327882502772038,1.89803332828907,5.08278583979002,5.78876064517749,1.13889524910942,11.5909960442534,19.3170502882186,10.1774031047344,58.9145505627936,2.173913043,"low","low"
8698,2017-01-31,2017,1,31,"Anton","adult_unflanged_male","male","adult","N-N",616,251.676695388864,NA,587.462314373653,NA,1675.1992564262,NA,249.508145397409,NA,2763.84641158613,NA,2512.16971619726,NA,9.98173355826895,2.33419432604186,0.350682052967789,2.35448150775984,6.65615564380268,6.71400628527775,1.00869129938825,9.10603043402949,21.2552445718761,9.02756912799001,60.6111558661044,2.173913043,"low","low"
8776,2017-03-06,2017,3,6,"Anton","adult_unflanged_male","male","adult","N-N",706,197.641684415476,NA,479.792870220342,NA,1500.58487023251,NA,145.453032884699,NA,2323.47245775303,NA,2125.83077333755,NA,10.7559838888476,2.42758946139994,0.319737243616217,3.29861028474172,7.5924513326755,10.3166282646168,1.35880071041315,8.50630631561737,20.6498195672325,6.26015739499501,64.5837167221551,1.814268143,"low","low"
8781,2017-03-08,2017,3,8,"Anton","adult_unflanged_male","male","adult","N-N",664,170.465777769469,NA,274.814422066376,NA,1366.3937605769,NA,129.344777714626,NA,1941.01873812737,NA,1770.5529603579,NA,10.3865595987972,1.61213837558659,0.20112388536548,2.1246657725347,8.01564852755815,10.5639654319216,1.31791774497126,8.78228398423029,14.1582570362771,6.6637572926995,70.3957016867931,1.814268143,"low","low"
8785,2017-03-09,2017,3,9,"Anton","adult_unflanged_male","male","adult","N-N",644,125.477562967167,170.465777769469,159.503291211256,274.814422066376,914.801867096321,1366.3937605769,118.646474817724,129.344777714626,1318.42919609247,1941.01873812737,1192.9516331253,1770.5529603579,9.50729042639646,1.27116982063951,0.174358292159521,1.34435760907604,7.29056132000026,7.71031645484392,1.05757514633231,9.51720148029597,12.0979792986979,8.99907823411116,69.385740986895,1.814268143,"low","low"
9371,2017-11-25,2017,11,25,"Anton","adult_unflanged_male","male","adult","N-N",692,385.562277183901,NA,263.694798516505,NA,2679.57422437883,NA,306.586985319034,NA,3635.41828539827,NA,3249.85600821437,NA,8.42887440117563,0.683922712674329,0.0984092159558053,0.860097822619915,6.94978316849383,8.74001295779226,1.25759505669389,10.6057198076084,7.25349266068339,8.43333452302992,73.7074530086783,3.658161697,"low","medium"
7592,2015-12-31,2015,12,31,"Apoi","adult_flanged_male","male","adult","N-N",572,285.711770779905,NA,112.825275885018,NA,1053.76679042612,NA,95.539049450294,NA,1547.84288654134,NA,1262.13111576143,NA,4.41749778917476,0.394891941543184,0.107068543922696,1.18093362383428,3.68821623116774,11.0296972441029,2.99052348148546,18.4587061945498,7.28919432754098,6.17239968481403,68.0796997930952,3.225806452,"low","medium"
7594,2016-01-01,2016,1,1,"Apoi","adult_flanged_male","male","adult","N-N",614,615.325840388226,285.711770779905,179.880569290643,112.825275885018,3401.52069688077,1053.76679042612,227.291162117934,95.539049450294,4424.01826867757,1547.84288654134,3808.69242828935,1262.13111576143,6.18971637187597,0.292333845718476,0.0528823974099572,0.791410310961889,5.52799910813863,14.9654771667533,2.70721410658701,13.9087545081987,4.06599969453592,5.13766328062375,76.8875825166416,2.369806905,"low","low"
7596,2016-01-02,2016,1,2,"Apoi","adult_flanged_male","male","adult","N-N",582,323.598713288472,615.325840388226,156.083818199007,179.880569290643,1131.0767297716,3401.52069688077,144.41908158751,227.291162117934,1755.17834284658,4424.01826867757,1431.57962955811,3808.69242828935,4.42393486367769,0.482337573635117,0.137995782329043,1.08077005118212,3.49530663542317,7.83190640279917,2.24069222523333,18.4367995769394,8.89276117353792,8.22817135227912,64.4422678972435,2.369806905,"low","low"
7598,2016-01-03,2016,1,3,"Apoi","adult_flanged_male","male","adult","N-N",646,604.987788472295,323.598713288472,166.487406125398,156.083818199007,3611.10750221505,1131.0767297716,233.664868525897,144.41908158751,4616.24756533864,1755.17834284658,4011.25977686634,1431.57962955811,6.63031527792571,0.275191349805274,0.0461042508491578,0.712505081211842,5.96889320912371,15.4542166522343,2.58912600892438,13.1056183601348,3.60655280655826,5.06179240213161,78.2260364311754,2.369806905,"low","low"
7601,2016-01-04,2016,1,4,"Apoi","adult_flanged_male","male","adult","N-N",592,609.232823209019,604.987788472295,148.689899709916,166.487406125398,4111.52950890311,3611.10750221505,239.644632095564,233.664868525897,5109.09686391761,4616.24756533864,4499.86404070859,4011.25977686634,7.38611556909623,0.244060881235387,0.0361641329310522,0.62045996361238,6.74869992599283,17.1567769866155,2.54223438214161,11.9244719651266,2.91029713607547,4.69054783024424,80.4746830685537,2.369806905,"low","low"
7672,2016-01-26,2016,1,26,"Apoi","adult_flanged_male","male","adult","N-N",660,522.993120967309,NA,226.364113696769,NA,1233.39310410401,NA,177.414667278579,NA,2160.16500604666,NA,1637.17188507936,NA,3.13038894670603,0.432824265982876,0.183529576210182,1.2759041694187,2.35833523359307,6.95203571961342,2.9478572938172,24.2107949857239,10.4790195685579,8.213014597587,57.0971708481312,2.369806905,"low","low"
7840,2016-04-28,2016,4,28,"Apoi","adult_flanged_male","male","adult","N-N",606,374.317004995493,NA,178.285203082386,NA,963.102891616971,NA,137.421330922706,NA,1653.12643061756,NA,1278.80942562206,NA,3.41638079102888,0.476294693276179,0.185115427057913,1.29736192980596,2.57296056220734,7.00839444029745,2.72386391895761,22.6429750358332,10.7847288495523,8.31281433637051,58.259481778244,1.17959304,"low","low"
